iter	RMSE
647	3.61557329
648	3.614082117
649	3.611367194
650	3.609738198
651	3.608724894
652	3.605112304
653	3.604098413
654	3.604016126
655	3.602931445
656	3.602429304
657	3.59904142
658	3.59764248
659	3.595694538
660	3.593018552
661	3.590211194
662	3.587596441
663	3.584850725
664	3.58459165
665	3.58064486
666	3.578197857
667	3.576744043
668	3.575942575
669	3.5752252
670	3.574264128
671	3.571413469
672	3.568253521
673	3.567063987
674	3.566146318
675	3.563841329
676	3.563198137
677	3.562487753
678	3.560782543
679	3.558873785
680	3.557615339
681	3.556859926
682	3.553810948
683	3.552858034
684	3.550659876
685	3.548403355
686	3.547210123
687	3.546929529
688	3.545736132
689	3.543410212
690	3.54048121
691	3.538285177
692	3.537013535
693	3.536394749
694	3.535528706
695	3.533578676
696	3.531442455
697	3.528824231
698	3.527157795
699	3.526865388
700	3.525051168
701	3.524071115
702	3.52183737
703	3.5178383
704	3.516346495
705	3.514764618
706	3.513424312
707	3.513162975
708	3.510457486
709	3.507904159
710	3.506053642
711	3.504698044
712	3.503708708
713	3.503353689
714	3.501189406
715	3.499209094
716	3.49750564
717	3.497308672
718	3.495925424
719	3.494290244
720	3.493955582
721	3.489455963
722	3.488237543
723	3.486810555
724	3.484209958
725	3.482011272
726	3.479317073
727	3.476385331
728	3.47565344
729	3.472483367
730	3.471752449
731	3.470926008
732	3.468457172
733	3.467178106
734	3.467022368
735	3.465384422
736	3.464732861
737	3.463497769
738	3.462258322
739	3.459209996
740	3.45607758
741	3.453283024
742	3.452769333
743	3.450741006
744	3.448634253
745	3.447488332
746	3.445419764
747	3.445260087
748	3.444873312
749	3.44340902
750	3.44319632
751	3.44094425
752	3.438365177
753	3.43665785
754	3.435143329
755	3.432905712
756	3.430545425
757	3.428571358
758	3.426721939
759	3.426415594
760	3.424302499
761	3.422473039
762	3.422299872
763	3.420048274
764	3.418344911
765	3.41719342
766	3.415632137
767	3.413077988
768	3.410106869
769	3.408791368
770	3.406652288
771	3.404904443
772	3.402318189
773	3.400114786
774	3.3985056
775	3.398063511
776	3.3964495
777	3.395957501
778	3.393306264
779	3.390632037
780	3.387430997
781	3.386816635
782	3.384567932
783	3.384327633
784	3.381876064
785	3.379627479
786	3.378646846
787	3.37777442
788	3.375914248
789	3.374143424
790	3.3711772
791	3.369147149
792	3.368083629
793	3.363559473
794	3.361625552
795	3.359164667
796	3.356825669
797	3.356547752
798	3.354700384
799	3.351652824
800	3.349302055
801	3.349205391
802	3.346990284
803	3.344808969
804	3.344488635
805	3.343150692
806	3.342532692
807	3.339894464
808	3.339140147
809	3.337070243
810	3.335413081
811	3.334697045
812	3.33137665
813	3.32749479
814	3.326960762
815	3.326200888
816	3.325202802
817	3.324114609
818	3.323067833
819	3.322458524
820	3.320159782
821	3.319322311
822	3.316550555
823	3.314375767
824	3.312513793
825	3.312151501
826	3.308451175
827	3.305716726
828	3.303957023
829	3.302916943
830	3.300348189
831	3.298077089
832	3.296892828
833	3.29636967
834	3.295126944
835	3.293131856
836	3.292997724
837	3.289124481
838	3.286045164
839	3.285669788
840	3.284212323
841	3.282234368
842	3.281952293
843	3.279845275
844	3.279350991
845	3.276900628
846	3.274944886
847	3.273729098
848	3.272995578
849	3.272667715
850	3.27169535
851	3.268916707
852	3.267596787
853	3.265175727
854	3.264216482
855	3.263426611
856	3.261012081
857	3.260088389
858	3.258179899
859	3.257181008
860	3.257072508
861	3.25456412
862	3.251834262
863	3.250760756
864	3.250111191
865	3.247046946
866	3.245684839
867	3.24490976
868	3.244369444
869	3.242802971
870	3.241098345
871	3.23851264
872	3.235787574
873	3.235455096
874	3.234078649
875	3.231614534
876	3.22912957
877	3.227482542
878	3.226758481
879	3.226266701
880	3.223888055
881	3.223465168
882	3.22172939
883	3.221234831
884	3.219836894
885	3.219270582
886	3.218732087
887	3.216199892
888	3.21537873
889	3.214220786
890	3.211931141
891	3.210519964
892	3.209698759
893	3.20803354
894	3.206544537
895	3.205261919
896	3.204671538
897	3.203698857
898	3.201584235
899	3.199765451
900	3.198034312
901	3.195707064
902	3.192003321
903	3.189485129
904	3.189433333
905	3.187986578
906	3.1879103
907	3.187229564
908	3.186986187
909	3.184984209
910	3.183531388
911	3.182292377
912	3.181183237
913	3.180755313
914	3.178034622
915	3.175678271
916	3.174613505
917	3.173347399
918	3.171392818
919	3.169352102
920	3.168045911
921	3.167237473
922	3.166117158
923	3.162322961
924	3.161205031
925	3.159403462
926	3.157777754
927	3.154408656
928	3.152033063
929	3.150496811
930	3.148269624
931	3.146768758
932	3.145638211
933	3.14155564
934	3.141206792
935	3.140862108
936	3.139986003
937	3.138457038
938	3.137907994
939	3.136789332
940	3.135207281
941	3.132503595
942	3.129977593
943	3.128071656
944	3.125290827
945	3.124524507
946	3.122842544
947	3.122144003
948	3.120120646
949	3.119042665
950	3.117604441
951	3.116341833
952	3.115913774
953	3.113871711
954	3.113632816
955	3.112272557
956	3.112035592
957	3.110960919
958	3.107078354
959	3.104665823
960	3.103279706
961	3.101867264
962	3.10068458
963	3.099043327
964	3.098289523
965	3.098142894
966	3.095696005
967	3.09441451
968	3.094190198
969	3.093397631
970	3.093329229
971	3.092279506
972	3.089605987
973	3.086834532
974	3.086704312
975	3.084782199
976	3.083019934
977	3.081103313
978	3.079058946
979	3.078014053
980	3.077113317
981	3.075169572
982	3.073574042
983	3.071276194
984	3.070504042
985	3.069594242
986	3.069072
987	3.068107471
988	3.067905157
989	3.065638631
990	3.06469765
991	3.062722811
992	3.061700585
993	3.061319397
994	3.058971301
995	3.0581102
996	3.05717952
997	3.055186927
998	3.055061891
999	3.054498151
